split,mapper,K,scale,count,bad_count,bad_rate,bad_mean_gain,good_mean_gain,worst_name,worst_gain,bad_pred_abs_mean_mean,good_pred_abs_mean_mean,bad_pred_abs_max_mean,good_pred_abs_max_mean,bad_pred_coeff_norm_mean,good_pred_coeff_norm_mean,bad_pred_low_energy_mean,good_pred_low_energy_mean,bad_weighted_residual_norm_mean,good_weighted_residual_norm_mean,bad_nn_distance_mean,good_nn_distance_mean,bad_confidence_proxy_mean,good_confidence_proxy_mean,bad_kenel_confidence_mean,good_kenel_confidence_mean,bad_proxy_score_mean,good_proxy_score_mean,bad_M_safe_mean_mean,good_M_safe_mean_mean,bad_M_safe_nonzero_frac_mean,good_M_safe_nonzero_frac_mean
oof,convir_spatial_kenel_knn_9,16,0.25,3000,19,0.006333333333333333,-0.05528138813219572,0.041118713962435924,638_0.73_1.34.png,-0.16563796997070312,0.0074882409535348415,0.005571488157622029,0.0238662740509761,0.017960657625865593,0.3891408302282032,0.3756518795066574,8.817044631302308e-05,5.864767760260179e-05,0.0018653881659598348,0.000771452561820224,23.510520269996242,27.225102072428562,0.07098971940813424,0.05170172316747439,0.12851751517308385,0.12877710354294164,0.9999010029592013,0.5596853129412807,0.1929907073315821,0.059512874327436134,1.0,0.9855033886812886
oof,convir_spatial_kenel_knn_9,16,0.5,3000,29,0.009666666666666667,-0.09022837671740301,0.08244693901192977,638_0.73_1.34.png,-0.3419456481933594,0.007086271837610623,0.005568960246616534,0.0233295234562508,0.017946019323272503,0.3927801539157999,0.37557095392801193,8.046476225366672e-05,5.8623523159861004e-05,0.0035320202872500418,0.0015374810957752938,24.448401673086757,27.228450190010083,0.06052043368095468,0.05173899321920162,0.12652005871822095,0.12879747450251405,0.9996256499454893,0.5582062918498025,0.16437257697869992,0.05934294751834564,1.0,0.985454594971027
oof,convir_spatial_kenel_knn_9,16,0.75,3000,37,0.012333333333333333,-0.12267690091519742,0.12374536756965465,638_0.73_1.34.png,-0.5274276733398438,0.007092147404831406,0.005564790186300934,0.022808916841608448,0.01793798503764238,0.3942441714776529,0.3755062079780656,8.020695998778604e-05,5.85677718169947e-05,0.0053069890908993556,0.0022980319898548824,24.082005004625064,27.240531548386212,0.05834188206866487,0.05174248794952923,0.1282410655875464,0.12878213264362418,0.9995991426545221,0.5570148054863197,0.1591424890164588,0.05912468097056301,1.0,0.9854153228683501
oof,convir_spatial_kenel_knn_9,16,1.0,3000,48,0.016,-0.14491144816080728,0.16513162059835626,638_0.73_1.34.png,-0.7206611633300781,0.00667263736249879,0.005565920116053011,0.022404425146911915,0.01792641164722971,0.40244760271161795,0.3753029958175894,7.264377389522754e-05,5.861011662138633e-05,0.006657280974977195,0.0030559012062867184,23.023572340607643,27.26951141283547,0.06078701905823096,0.05167813838624682,0.128621737472713,0.12877795902815292,0.9995089595516523,0.5553670754998994,0.15441057384790233,0.05882892759643898,1.0,0.9853609761717212
oof,global_mean_coeff,16,0.25,3000,76,0.025333333333333333,-0.04250679518047132,0.01444743596088707,1185_0.94_1.35.png,-0.16693496704101562,0.005030889382683917,0.005027023127026061,0.010144071702502276,0.010127011848047946,0.1053880458011439,0.10463690911400579,2.7934015059528112e-05,2.790310237186707e-05,0.0012567516434252332,0.0005359391067689883,3.5826840004638623,579139.3858158203,0.25264572304853067,0.11498485832364912,,,0.9997952823576174,0.5511065647999328,0.17782742552165137,0.05730499913465858,1.0,0.985220794000999
oof,global_mean_coeff,16,0.5,3000,129,0.043,-0.06345305331917696,0.02961310622834113,1185_0.94_1.35.png,-0.3394927978515625,0.005033966709765815,0.005026813483437266,0.01014009879743175,0.010126875426058403,0.1050878501562185,0.10463653119473622,2.7970902602794733e-05,2.79008742752013e-05,0.00251499202673376,0.0010451982496471697,3.945349037878273,589830.486750058,0.2408221682418563,0.11297483141304036,,,0.999754646027735,0.5428253875292945,0.16462039667391037,0.05567351816038062,1.0,0.9849479629602651
oof,global_mean_coeff,16,0.75,3000,153,0.051,-0.08652728211645987,0.04448920029860277,1185_0.94_1.35.png,-0.5167922973632812,0.005038827149428768,0.005026491978449448,0.0101356415163263,0.010127003491775357,0.10483114966769623,0.1046465218936011,2.802379262278669e-05,2.7897441590648783e-05,0.003776112596560331,0.001549017208624693,3.964315982036341,594802.6799680707,0.2406404648026539,0.11190685267833941,,,0.99957750279919,0.5389830273993349,0.14672262518624074,0.05571694420649538,1.0,0.9848210753982863
oof,global_mean_coeff,16,1.0,3000,175,0.058333333333333334,-0.10689481462751116,0.05927367353861311,1185_0.94_1.35.png,-0.6980018615722656,0.005035849093858685,0.005026580398259437,0.010135396415633815,0.010126951405432372,0.10480472760541099,0.10464672084930723,2.7993135819477695e-05,2.7898356712019416e-05,0.005031943545701244,0.0020424092643800498,3.904591087784086,599434.7444623016,0.24288462762361032,0.11076530649766604,,,0.9995317302431379,0.5353989324395162,0.1422667009117348,0.055284258106135784,1.0,0.984702867843866
oof,global_plus_spatial_kenel_knn_9,16,0.25,3000,18,0.006,-0.060957378811306424,0.039856380460088,638_0.73_1.34.png,-0.3015899658203125,0.00765571185749852,0.005730248785899867,0.02421898286168774,0.016802485005825128,0.41238833963871,0.3599007321480414,9.068240645622912e-05,5.570069926086531e-05,0.0019083041305932482,0.0007626459331731758,24.492840038405525,2319035.0155589883,0.06991534209997155,0.031631530946555554,0.1111111119389534,0.11111111196893561,0.999854650762346,0.5598332170424078,0.1958017661753628,0.05954066734347104,1.0,0.9855082500532935
oof,global_plus_spatial_kenel_knn_9,16,0.5,3000,37,0.012333333333333333,-0.08016617233688766,0.08017182905369018,638_0.73_1.34.png,-0.6160011291503906,0.0066672085683692145,0.005730245688814957,0.021634492872131837,0.016787200723122522,0.40566074968995275,0.3596481693015282,7.196462687765283e-05,5.571011721823804e-05,0.0033270950187491116,0.0015167117038314077,41.489054583214426,2333905.272417484,0.05693796007929475,0.031548092108502956,0.1111111119389534,0.11111111196912787,0.9996822524715114,0.5570137676654527,0.1647635018201293,0.05905448945057118,1.0,0.9854153228683501
oof,global_plus_spatial_kenel_knn_9,16,0.75,3000,43,0.014333333333333333,-0.11629437291344931,0.12010891694735545,638_0.73_1.34.png,-0.9392585754394531,0.006439365793106167,0.005731657749031049,0.02165838954753654,0.016777017662609684,0.4008402391228565,0.35962490466576713,6.795398077122437e-05,5.5735457334781815e-05,0.004820649721183863,0.0022720294158454462,38.764746832293135,2338640.9165992257,0.059186109653710156,0.031463881882082725,0.1111111119389534,0.1111111119691891,0.999611243259075,0.5561165889327163,0.15256868645029012,0.059017331177553166,1.0,0.985385729340183
oof,global_plus_spatial_kenel_knn_9,16,1.0,3000,49,0.01633333333333333,-0.1516622037303691,0.15978869209043942,638_0.73_1.34.png,-1.2679824829101562,0.006476295978895256,0.005729605621830738,0.021959661601149306,0.016762090328846017,0.4000003794018103,0.35955505075847766,6.899692473835989e-05,5.56932969162768e-05,0.006464357479184316,0.0030218519389401304,36.51466975893293,2343395.821094275,0.059380232463433935,0.03140429347669261,0.1111111119389534,0.11111111196925058,0.999634113846993,0.5552144918182581,0.15463648185285986,0.058792786919212824,1.0,0.9853560154723555
oof,spatial_priors_kenel_knn_9,16,0.25,3000,23,0.007666666666666666,-0.0445569079855214,0.038889623224875415,638_0.73_1.34.png,-0.11822891235351562,0.00713744120793822,0.005858142895741043,0.022503535303732624,0.01656122047574249,0.4573820337005284,0.35876765899012303,8.175990629040271e-05,5.69969055386998e-05,0.0017854361127689815,0.0007948487587272076,7.5412837344667185,2251933.968647517,0.16998629269257653,0.09254191694181912,0.1111111119389534,0.1111111119389534,0.999720933644668,0.5590952151361622,0.17340412654954454,0.05948485283800727,1.0,0.9854839105337324
oof,spatial_priors_kenel_knn_9,16,0.5,3000,39,0.013,-0.07084978543795072,0.07792738747331027,638_0.73_1.34.png,-0.24864578247070312,0.006876987482731541,0.005854660599992278,0.02192387987787907,0.0165367454755265,0.42202009566319293,0.3587005484153475,7.664946826060678e-05,5.693040742020428e-05,0.003445588996373106,0.0015806422153970335,7.8956731634262285,2264102.4282951467,0.1546139199656466,0.09232591306621567,0.1111111119389534,0.1111111119389534,0.99972125964287,0.5567142545788958,0.1702993839788131,0.05891017420946081,1.0,0.9854054716848771
oof,spatial_priors_kenel_knn_9,16,0.75,3000,55,0.018333333333333333,-0.09054887945001776,0.11689726436077436,764_0.98_1.95.png,-0.4046173095703125,0.00675869436765259,0.005851315571539142,0.021604165536436168,0.016513448408749493,0.4231918600472537,0.3583346537474056,7.447930337630996e-05,5.686380439649966e-05,0.005077672031505924,0.0023574592116735226,7.983727137608962,2276403.110019759,0.1506886720505658,0.09206081307468376,0.1111111119389534,0.1111111119389534,0.9995779958638278,0.5543101009037935,0.15319435254416683,0.058624452434450934,1.0,0.9853261805293451
oof,spatial_priors_kenel_knn_9,16,1.0,3000,64,0.021333333333333333,-0.11813333630561829,0.15523343190185382,764_0.98_1.95.png,-0.5974044799804688,0.006498679271317087,0.005854202001035209,0.02106592318159528,0.016509576152809655,0.4200373478233814,0.3582046039945545,6.93332341796804e-05,5.6921981827618874e-05,0.006508229391205266,0.0031378720913696175,7.798254079185426,2283381.1645180252,0.1512053864737552,0.09186983199366637,0.1111111119389534,0.1111111119389534,0.9995302278548479,0.5529462201469592,0.15491604931594338,0.05829702815162357,1.0,0.9852811994751094
oof,spatial_priors_ridge_10,16,0.25,3000,29,0.009666666666666667,-0.06474994790965113,0.03937549841440073,1180_0.68_0.5.png,-0.25922393798828125,0.007264709244642792,0.007274909961276829,0.02280446463103952,0.02365718183406412,0.3912547980916911,0.44626346578585185,8.118965236243294e-05,9.016824764773177e-05,0.001813590024807979,0.0007973819828414861,8.668675192471209,2256481.772710065,0.13175905811958954,0.09275865324209245,,,0.9997421318087084,0.5582051548676304,0.19146330635352382,0.05907851427974924,1.0,0.985454594971027
oof,spatial_priors_ridge_10,16,0.5,3000,42,0.014,-0.10570435296921503,0.07867984500908223,1180_0.68_0.5.png,-0.5279960632324219,0.006987891298541356,0.007278885269949076,0.02308948901260183,0.02365688240864617,0.4155759108918054,0.44615989105374204,7.917884973028863e-05,9.023625827966516e-05,0.0034886703838136568,0.0015877984473843137,8.770576902798243,2266398.657792073,0.13050608663709867,0.09260504253852828,,,0.9995941093989781,0.5562667627922331,0.17369070201225223,0.05874905081976761,1.0,0.9853906699320221
oof,spatial_priors_ridge_10,16,0.75,3000,60,0.02,-0.1287306785583496,0.11796457199823289,1180_0.68_0.5.png,-0.8037681579589844,0.006806590823301425,0.007284366875391162,0.022126396916185818,0.023680011186507994,0.3990733827153842,0.4466839262011911,7.335874946268935e-05,9.042273425583683e-05,0.005101751937967307,0.0023669193348852084,8.386912827690443,2280274.52207429,0.14948323405783695,0.09198570660688932,,,0.9995558897654215,0.5535532937238969,0.1508979097629587,0.058510485450207365,1.0,0.9853012250540548
oof,spatial_priors_ridge_10,16,1.0,3000,76,0.025333333333333333,-0.15325475993909335,0.15685563472325106,1180_0.68_0.5.png,-1.0843086242675781,0.006664081717118327,0.007290685312088614,0.022182554190390204,0.023687052867590628,0.40679525329094185,0.4467437437566051,7.151790301625289e-05,9.056395453169851e-05,0.006664550601808363,0.00313952054761577,8.53737197816372,2292752.034635059,0.14431768540604153,0.09180534452013189,,,0.9995594510906621,0.5511126944771861,0.15093646425214646,0.05800394340842136,1.0,0.985220794000999
