fold,name,mapper,K,scale,confidence_key,direction,threshold,status,gate_pass,split,gate,count,open_count,keep_count,open_keep_count,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,mean_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_gain,hard_bottom25_oracle_gain,easy_top25_gain,strong_reference_cut_psnr,strong_regressions,severe_regressions,coverage,strong_rate
0,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,missing_candidate,False,,,,,,,,,,,,,,,,,,,,
0,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,,False,oof,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",665,292,37,14,0.012311736780884036,0.011729065442828446,0.04732649409466599,0.02299202366879112,0.4168985094342913,0.055150170001783044,0.07109520234257342,1.0244906666767166,0.0,42.63182830810547,0,0,0.055639097744360905,0.0
1,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,missing_candidate,False,,,,,,,,,,,,,,,,,,,,
1,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,,False,oof,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",632,279,30,20,0.012593279921050521,0.011419995664097496,0.09316748808162366,0.04436562634721587,0.446695647662199,0.09931958500022396,0.16265503364273265,1.0752924424183519,0.0,42.74841785430908,0,0,0.04746835443037975,0.0
2,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,missing_candidate,False,,,,,,,,,,,,,,,,,,,,
2,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,,False,oof,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",592,263,25,16,0.01287575338094627,0.011767492752510482,0.08607345882189761,0.037164765435296135,0.4747843806808059,0.07827714421018778,0.1310446971171611,1.1691911800487622,0.0,42.842400550842285,0,0,0.04222972972972973,0.0
3,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,missing_candidate,False,,,,,,,,,,,,,,,,,,,,
3,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,,False,oof,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",563,249,23,15,0.0128338202241258,0.012160719649367475,0.05244740560515175,0.033391996556446354,0.47145975631253123,0.07082682267012153,0.12470828465053013,1.0699892861502511,0.0,42.925912857055664,0,0,0.04085257548845471,0.0
4,RuleA_global_plus_spatial_kenel_knn_9_K16_pred_abs_mean_high,global_plus_spatial_kenel_knn_9,16,1.0,pred_abs_mean,high,0.010107760690152645,missing_candidate,False,,,,,,,,,,,,,,,,,,,,
4,RuleB_spatial_priors_ridge_10_K16_pred_abs_mean_high,spatial_priors_ridge_10,16,1.0,pred_abs_mean,high,0.01394791239872575,,False,oof,"severe=0,strong_rate<=1%,easy>=-0.02,hard>=0.25,mean>0,coverage>=10%,oracle_recovery>=0.15",548,241,35,20,0.012818414655365023,0.011704428802677932,0.0869051191303788,0.05337926071055614,0.4609071668917245,0.11581347513109055,0.19764592525732777,1.1684722204277986,0.0,42.77414894104004,0,1,0.06386861313868614,0.0
