variant,seed,fold,file,common_count,mean_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero,zero_mean_psnr_delta,true_vs_shuffle,shuffle_mean_psnr_delta,true_vs_normal,normal_mean_psnr_delta
u1_tau_l1_s004_g025_a006,3407,0,train_eval_depth_matrix_v35_fdf_rcs_u1_tau_l1_s004_g025_a006_seed3407_f0_quick5full_fallback_train.csv,600,0.08476035753885905,0.10983636220296224,0.06100372314453125,2.0607113838195802e-05,0.65,53.0,70.0,0.09212108294169108,-0.007360725402832031,0.06931352933247883,0.015446828206380209,0.07274380683898926,0.012016550699869791
u1_tau_l1_s004_g025_a006,3407,1,train_eval_depth_matrix_v35_fdf_rcs_u1_tau_l1_s004_g025_a006_seed3407_f1_quick5full_fallback_train.csv,600,0.06675875345865885,0.08210634867350261,0.032818196614583336,8.24044148127238e-06,0.64,52.0,70.0,0.08688647588094076,-0.0201277224222819,0.06908705711364746,-0.0023283036549886066,0.07333473205566406,-0.006575978597005208
u1_tau_l1_s004_g025_a006,3411,0,train_eval_depth_matrix_v35_fdf_rcs_u1_tau_l1_s004_g025_a006_seed3411_f0_quick5full_fallback_train.csv,600,0.06516260782877605,0.03767702738444011,0.08399709065755208,2.925594647725423e-07,0.6233333333333333,50.0,64.0,0.08521814346313478,-0.020055535634358725,0.06389611562093099,0.001266492207845052,0.06765915234883627,-0.0024965445200602213
u1_tau_l1_s004_g025_a006,3411,1,train_eval_depth_matrix_v35_fdf_rcs_u1_tau_l1_s004_g025_a006_seed3411_f1_quick5full_fallback_train.csv,600,0.061701329549153645,0.07611099243164063,0.026220626831054687,2.282063166300456e-06,0.6516666666666666,56.0,71.0,0.09458989143371582,-0.03288856188456218,0.0724766222635905,-0.010775292714436849,0.07720531781514486,-0.015503988265991211
u2_tau_l3_s004_g015_a006,3407,0,train_eval_depth_matrix_v35_fdf_rcs_u2_tau_l3_s004_g015_a006_seed3407_f0_quick5full_screen2_fallback_train.csv,600,0.07196791330973307,0.0974187469482422,0.05350947062174479,2.168009678522746e-05,0.6366666666666667,47.0,57.0,0.07759293556213379,-0.005625022252400716,0.05728877067565917,0.014679142634073893,0.05992724418640136,0.012040669123331706
u2_tau_l3_s004_g015_a006,3407,1,train_eval_depth_matrix_v35_fdf_rcs_u2_tau_l3_s004_g015_a006_seed3407_f1_quick5full_screen2_fallback_train.csv,600,0.05957338968912761,0.07405054728190104,0.03104029337565104,1.1390050252278646e-05,0.6433333333333333,54.0,57.0,0.07103761672973632,-0.011464227040608723,0.05552002271016439,0.004053366978963216,0.05892842928568522,0.0006449604034423828
u2_tau_l3_s004_g015_a006,3411,0,train_eval_depth_matrix_v35_fdf_rcs_u2_tau_l3_s004_g015_a006_seed3411_f0_quick5full_screen2_fallback_train.csv,600,0.05952277183532715,0.03617244720458984,0.07850140889485677,3.4337242444356283e-06,0.6316666666666667,48.0,57.0,0.07019249280293782,-0.010669720967610678,0.05208380699157715,0.00743896484375,0.055058806737264,0.004463965098063151
u2_tau_l3_s004_g015_a006,3411,1,train_eval_depth_matrix_v35_fdf_rcs_u2_tau_l3_s004_g015_a006_seed3411_f1_quick5full_screen2_fallback_train.csv,600,0.04769426027933756,0.061050554911295574,0.01961125691731771,3.1851728757222493e-06,0.6516666666666666,51.0,58.0,0.07695085843404134,-0.029256598154703776,0.0581112798055013,-0.010417019526163737,0.06185339291890462,-0.014159132639567057
u3_tau_l2_s002_g025_a006,3407,0,train_eval_depth_matrix_v35_fdf_rcs_u3_tau_l2_s002_g025_a006_seed3407_f0_quick5full_screen2_fallback_train.csv,600,0.058072649637858076,0.08343144734700521,0.04433916727701823,2.0174582799275718e-05,0.6383333333333333,38.0,48.0,0.06541250546773275,-0.007339855829874674,0.04716418266296387,0.010908466974894206,0.04927728652954102,0.008795363108317057
u3_tau_l2_s002_g025_a006,3407,1,train_eval_depth_matrix_v35_fdf_rcs_u3_tau_l2_s002_g025_a006_seed3407_f1_quick5full_screen3_fallback_train.csv,600,0.04901128768920898,0.06134653727213542,0.02658246358235677,1.1633435885111491e-05,0.65,48.0,49.0,0.058960440953572585,-0.009949153264363606,0.044957605997721355,0.00405368169148763,0.04777028719584147,0.001241000493367513
u3_tau_l2_s002_g025_a006,3411,0,train_eval_depth_matrix_v35_fdf_rcs_u3_tau_l2_s002_g025_a006_seed3411_f0_quick5full_screen2_fallback_train.csv,600,0.050911296208699545,0.02933948516845703,0.07200078328450521,4.646778106689453e-06,0.63,39.0,49.0,0.0551072629292806,-0.004195966720581055,0.03990259170532227,0.011008704503377278,0.04222031275431315,0.008690983454386392
u3_tau_l2_s002_g025_a006,3411,1,train_eval_depth_matrix_v35_fdf_rcs_u3_tau_l2_s002_g025_a006_seed3411_f1_quick5full_screen4_fallback_train.csv,600,0.03401910463968913,0.04546410878499349,0.012551727294921875,3.0780831972757975e-06,0.62,46.0,50.0,0.06051428476969401,-0.026495180130004882,0.044626318613688154,-0.010607213973999023,0.04759939829508464,-0.013580293655395507
