alpha,bin,count,predicted_risk,observed_risk
1.0,0,1,0.09542991011411232,0.0
1.0,1,51,0.17529739639777114,0.23529411764705882
1.0,2,253,0.257490113659921,0.3438735177865613
1.0,3,513,0.35479550758965184,0.3840155945419103
1.0,4,729,0.4516053729262143,0.46364883401920437
1.0,5,661,0.5460086912925738,0.5748865355521936
1.0,6,425,0.6473364118813085,0.6870588235294117
1.0,7,229,0.7391737668387384,0.7292576419213974
1.0,8,101,0.8455001112817758,0.8811881188118812
1.0,9,37,0.9379505744005227,0.8378378378378378
0.75,0,2,0.045947444770301556,0.5
0.75,1,41,0.1750416548585511,0.17073170731707318
0.75,2,279,0.2593512473649805,0.2078853046594982
0.75,3,659,0.355165073462723,0.26403641881638845
0.75,4,769,0.4503765573542057,0.3016905071521456
0.75,5,581,0.5476782839431792,0.4113597246127367
0.75,6,378,0.6453698684261332,0.5555555555555556
0.75,7,154,0.7447626701259642,0.6363636363636364
0.75,8,89,0.8477885792825046,0.7191011235955056
0.75,9,48,0.9370379033432209,0.8333333333333334
0.5,0,1,1.6816455236822612e-59,1.0
0.5,1,80,0.1736349158411891,0.0625
0.5,2,460,0.25623404893434437,0.11304347826086956
0.5,3,717,0.3525213428728437,0.13807531380753138
0.5,4,658,0.4487429034021135,0.2188449848024316
0.5,5,486,0.5478026823720791,0.27983539094650206
0.5,6,279,0.6434023241389588,0.3548387096774194
0.5,7,166,0.7447236655182008,0.45180722891566266
0.5,8,94,0.8469696746808643,0.5531914893617021
0.5,9,59,0.9448082817492816,0.7288135593220338
0.25,0,30,0.08074983360071095,0.03333333333333333
0.25,1,397,0.15709646059668947,0.02518891687657431
0.25,2,587,0.2509742566811613,0.05110732538330494
0.25,3,586,0.35032178228615973,0.11092150170648464
0.25,4,504,0.4462144298408756,0.0992063492063492
0.25,5,361,0.5484051389609681,0.1440443213296399
0.25,6,214,0.6458752471357444,0.2102803738317757
0.25,7,127,0.7465149659353612,0.29133858267716534
0.25,8,116,0.8403531004543852,0.3879310344827586
0.25,9,78,0.9529118779367641,0.6153846153846154
