bin_safety_pass,chosen_profile,count,coverage,dSSIM,dimension,easy_top25_dPSNR,hard_bottom25_dPSNR,heldout_bin,mean_dPSNR,nonnegative_ratio,positive_ratio,score,selected_count,selected_nonnegative_ratio,selected_precision,selected_severe_count,severe_loss_count,severe_loss_per_600,strong_gate_pass,strong_loss_count,strong_loss_per_600
True,riskcap42_no075,300,0.9933333333333333,0.00025965253512064617,split,0.4135376993815104,0.31193456013997395,val_hard,0.3325011189778646,0.7766666666666666,0.77,0.8859025370279947,298,0.7751677852348994,0.7751677852348994,21,21,42.00000000000001,True,44,88.0
True,riskcap42_no075,300,1.0,0.00023828168710072836,split,0.46810078938802085,0.35834205627441407,val_regular,0.3770960299173991,0.81,0.81,0.9870797538757327,300,0.81,0.81,22,22,44.0,True,42,84.00000000000001
True,riskcap48_no075,150,0.9933333333333333,0.0001399978001912435,airlight_q4,0.39350571503510345,0.33969172915896856,q1,0.3373247146606445,0.76,0.7533333333333333,0.44342866949132964,149,0.7583892617449665,0.7583892617449665,20,20,80.0,False,29,116.0
True,riskcap48_no075,150,1.0,0.0002328332265218099,airlight_q4,0.4985567041345545,0.4698598191544816,q2,0.38450216929117836,0.7866666666666666,0.7866666666666666,1.084245695028219,150,0.7866666666666666,0.7866666666666666,10,10,40.0,True,24,96.0
True,riskcap42_no075,150,1.0,0.00031084775924682616,airlight_q4,0.4590891245249155,0.337412911492425,q3,0.3766078567504883,0.8133333333333334,0.8133333333333334,0.99444709839692,150,0.8133333333333334,0.8133333333333334,8,8,32.0,True,19,76.0
True,riskcap42_no075,150,1.0,0.00032018423080444337,airlight_q4,0.4722596245843011,0.21785535039128484,q4,0.35467477162679034,0.8333333333333334,0.8333333333333334,0.7068957151808181,150,0.8333333333333334,0.8333333333333334,10,10,40.0,False,14,56.0
True,riskcap48_no075,150,1.0,0.00015610893567403157,beta_haze_q4,0.5527553042849979,0.36351198763460724,q1,0.4766546630859375,0.82,0.82,0.9277397836221232,150,0.82,0.82,15,15,60.0,False,22,88.0
True,riskcap48_allow075,150,0.9933333333333333,0.0002533475557963053,beta_haze_q4,0.2772612700591216,0.48750898000356313,q2,0.34238892873128257,0.8466666666666667,0.84,1.0581222397400452,149,0.8456375838926175,0.8456375838926175,10,10,40.0,True,17,68.0
True,riskcap42_no075,150,1.0,0.00032572706540425617,beta_haze_q4,0.46963624696473816,0.2690782289247255,q3,0.3729071299235026,0.7866666666666666,0.7866666666666666,0.8632897956092078,150,0.7866666666666666,0.7866666666666666,8,8,32.0,False,23,92.0
True,riskcap48_no075,150,1.0,0.0002940209706624349,beta_haze_q4,0.3792215295740076,0.20170021057128906,q4,0.27935118357340494,0.7266666666666667,0.7266666666666667,0.4010339261304151,150,0.7266666666666667,0.7266666666666667,14,14,56.0,False,27,108.0
True,riskcap42_no075,150,1.0,0.00018985629081726076,depth_mean_q4,0.31167757188951645,0.3338533349939295,q1,0.35538798014322914,0.7666666666666667,0.7666666666666667,0.9106384053273244,150,0.7666666666666667,0.7666666666666667,11,11,44.0,True,23,92.0
True,riskcap42_no075,150,0.9933333333333333,0.0002373206615447998,depth_mean_q4,0.538036449535473,0.21375991202689507,q2,0.36985973358154295,0.82,0.8133333333333334,0.7321911322103964,149,0.8187919463087249,0.8187919463087249,7,7,28.0,False,17,68.0
True,riskcap48_no075,150,1.0,0.00028866489728291827,depth_mean_q4,0.6199566609150654,0.489035786809148,q3,0.4155940882364909,0.7933333333333333,0.7933333333333333,1.129818383775316,150,0.7933333333333333,0.7933333333333333,12,12,48.0,True,23,92.0
True,riskcap48_no075,150,1.0,0.0003041267395019531,depth_mean_q4,0.3750659839527027,0.32214298763790644,q4,0.3083511734008789,0.7866666666666666,0.7866666666666666,0.5815721619064743,150,0.7866666666666666,0.7866666666666666,17,17,68.0,False,25,100.0
True,riskcap48_allow075,150,0.9933333333333333,0.0002623156706492106,low_texture_input_grad_q4,0.21896630364495354,0.2877543681376689,q1,0.3213512166341146,0.76,0.7533333333333333,0.679960077784083,149,0.7583892617449665,0.7583892617449665,14,14,56.0,False,28,112.0
True,riskcap48_no075,150,1.0,0.00036397576332092285,low_texture_input_grad_q4,0.4492390606854413,0.5419394003378378,q2,0.4662511698404948,0.82,0.82,1.225726596179309,150,0.82,0.82,11,11,44.0,True,20,80.0
True,riskcap42_no075,150,1.0,0.00018523295720418293,low_texture_input_grad_q4,0.5404422863109691,0.4049593951251056,q3,0.34838778177897134,0.7866666666666666,0.7866666666666666,1.0243995265101526,150,0.7866666666666666,0.7866666666666666,7,7,28.0,True,20,80.0
True,riskcap48_allow075,150,1.0,0.00021495540936787924,low_texture_input_grad_q4,0.47141905088682434,0.24994365589038745,q4,0.32173892974853513,0.8133333333333334,0.8133333333333334,0.5147230713303025,150,0.8133333333333334,0.8133333333333334,16,16,64.0,False,23,92.0
True,riskcap48_allow075,150,1.0,0.0002717860539754232,input_dark_q4,0.5585671502190668,0.41251332051045186,q1,0.4655899302164714,0.86,0.86,1.0864573016467396,150,0.86,0.86,13,13,52.0,False,19,76.0
True,riskcap48_no075,150,1.0,0.00024389028549194337,input_dark_q4,0.5287932318610113,0.44575464403307113,q2,0.42844107309977214,0.8,0.8,0.8779241115123304,150,0.8,0.8,16,16,64.0,False,24,96.0
True,riskcap42_no075,150,1.0,0.0002009260654449463,input_dark_q4,0.3310435527079814,0.17708082456846494,q3,0.2851154073079427,0.76,0.76,0.4760460713704428,150,0.76,0.76,10,10,40.0,False,24,96.0
True,riskcap42_no075,150,0.9866666666666667,0.0002963081995646159,input_dark_q4,0.24622520240577492,0.3824738682927312,q4,0.2831148401896159,0.76,0.7466666666666667,0.8937164550643785,148,0.7567567567567568,0.7567567567567568,7,7,28.0,True,20,80.0
True,riskcap36_no075,150,1.0,0.00015037973721822103,diff_abs_q4,0.5545955348659206,0.09187925184095228,q1,0.3237758382161458,0.86,0.86,0.38349729685740425,150,0.86,0.86,5,5,20.0,False,19,76.0
True,riskcap42_no075,150,1.0,0.00019503434499104817,diff_abs_q4,0.4896802128972234,0.13764577298550992,q2,0.25941341400146484,0.7866666666666666,0.7866666666666666,0.36778959965061503,150,0.7866666666666666,0.7866666666666666,10,10,40.0,False,24,96.0
True,riskcap48_allow075,150,1.0,0.00028568506240844727,diff_abs_q4,0.4313590591018264,0.23918115770494616,q3,0.3373752212524414,0.7466666666666667,0.7466666666666667,0.2422183687364734,150,0.7466666666666667,0.7466666666666667,20,20,80.0,False,26,104.0
True,riskcap48_no075,150,0.9933333333333333,0.0004021743933359782,diff_abs_q4,0.508196547224715,0.468725771517367,q4,0.557367795308431,0.8,0.7933333333333333,1.188168067244796,149,0.7986577181208053,0.7986577181208053,13,13,52.0,False,20,80.0
True,riskcap42_no075,150,0.9933333333333333,0.00030967950820922854,a0_psnr_q4,0.3575042518409523,0.20778795190759608,q1,0.32224745432535806,0.7533333333333333,0.7466666666666667,0.5878041448507224,149,0.7516778523489933,0.7516778523489933,11,11,44.0,False,22,88.0
True,riskcap42_no075,150,1.0,0.00023552894592285156,a0_psnr_q4,0.27299757261533997,0.34508452544341217,q2,0.30771217346191404,0.7866666666666666,0.7866666666666666,0.8930795510781777,150,0.7866666666666666,0.7866666666666666,9,9,36.0,True,18,72.0
True,riskcap48_no075,150,1.0,0.00026842832565307615,a0_psnr_q4,0.3558173308501372,0.2949158952042863,q3,0.36898208618164063,0.7733333333333333,0.7733333333333333,0.714328325838656,150,0.7733333333333333,0.7733333333333333,15,15,60.0,False,27,108.0
True,riskcap42_no075,150,1.0,0.00019945661226908367,a0_psnr_q4,0.5229463319520693,0.4595133807208087,q4,0.451987787882487,0.8733333333333333,0.8733333333333333,1.184893125654341,150,0.8733333333333333,0.8733333333333333,10,10,40.0,True,16,64.0
True,riskcap48_no075,150,1.0,0.0004618783791859945,diff_signed_q4,0.6991888510214316,0.8952906840556377,q1,0.820569585164388,0.84,0.84,1.3847210175110412,150,0.84,0.84,21,21,84.00000000000001,False,23,92.0
True,riskcap48_allow075,150,1.0,0.0002608529726664225,diff_signed_q4,0.5789103121370882,0.2510636819375528,q2,0.34518686930338544,0.8133333333333334,0.8133333333333334,0.6080562099422422,150,0.8133333333333334,0.8133333333333334,15,15,60.0,False,24,96.0
True,riskcap42_no075,150,1.0,0.00020337541898091634,diff_signed_q4,0.424192273938978,0.14497468278214737,q3,0.26483863830566406,0.8533333333333334,0.8533333333333334,0.44118697748957447,150,0.8533333333333334,0.8533333333333334,7,7,28.0,False,17,68.0
True,riskcap42_no075,150,0.9866666666666667,0.00010184327761332195,diff_signed_q4,0.14516325254698056,0.038502203451620566,q4,0.0668979263305664,0.66,0.6466666666666666,-0.2557795787501979,148,0.6554054054054054,0.6554054054054054,7,7,28.0,False,24,96.0
